Year,Number_Households,Mean,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2022,1224200,13124,2314,4619,6396,8444,10508,12632,14892,17919,22089,31430
2021,1227000,12276,2040,4349,5840,8146,10012,12087,14216,16752,20420,28901
2020,1190100,12235,1978,4295,5838,7859,9764,11479,13873,16247,19976,31037
2019,1191100,12386,2045,4121,5893,7788,9829,11700,13965,16821,20413,31289
2018,1164500,12137,1955,4005,5834,7646,9506,11403,13627,16213,20198,30982
2017,1137900,12027,1937,3930,5805,7420,9331,10973,13505,15976,19589,31806
2016,1126900,11589,1909,3907,5693,7279,8875,10878,12833,15371,18972,30175
2015,1106500,11510,1927,3815,5597,7063,8733,10638,12639,14929,18365,31393
2014,1074900,11143,1775,3641,5226,6863,8303,10108,11861,14496,18017,31142
2013,1063700,10469,1711,3372,4993,6376,7993,9469,11293,13807,16984,28688
2012,1045800,10348,1644,3302,4782,6183,7608,9133,10894,13186,16366,30379
2011,1039500,9618,1581,3135,4421,5794,7032,8436,10101,12306,15509,27867
2010,1025900,8726,1497,2940,4158,5418,6603,7840,9310,11105,13943,24442
2009,1012400,8195,1361,2695,3788,4979,5979,7319,8799,10694,13421,22911
2008,999200,8414,1399,2700,3831,4908,6055,7490,8958,10820,14012,23969
2007,982000,7431,1321,2418,3380,4335,5358,6561,7927,9479,12387,21146
2006,959300,6792,1257,2307,3180,4036,4973,6027,7178,8811,11048,19101
2005,922100,6593,1257,2255,3118,4019,4860,5865,7133,8643,10701,18076
2004,905000,6285,1232,2199,2988,3786,4648,5504,6633,8012,10350,17493
2003,893400,6276,1223,2164,2984,3747,4637,5638,6725,8229,10271,17146
2002,877500,6229,1265,2179,2945,3723,4570,5523,6664,8132,10294,16998
2001,869600,6417,1331,2275,3044,3865,4680,5677,6751,8322,10755,17467
2000,836500,5947,1382,2241,2986,3683,4505,5305,6353,7610,9460,15947
